id,tool_id,approved_date,table,is_approved,is_requester_received,is_returned,returned_quantity
1308,035ed2a8-1354-4822-b347-f5aa61dea545,2025-04-09 05:54:29,inventories,1,0,0,
1307,035ed2a8-1354-4822-b347-f5aa61dea545,2025-04-09 05:54:51,inventories,1,0,0,
1306,035ed2a8-1354-4822-b347-f5aa61dea545,2025-04-09 05:55:10,inventories,1,0,0,
1305,02cc09db-36fb-466b-9ed0-49e8e5b1a864,2025-04-08 07:35:27,inventories,1,1,0,
1304,35446524-b1d3-471c-8945-a2b020e212e7,2025-04-07 09:15:02,inventories,1,0,0,
1302,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-04-08 07:35:55,inventories,1,0,0,
1300,365d133f-e811-40df-8d26-a79226997a70,2025-04-04 06:39:34,inventories,1,0,0,
1299,454d491e-14ee-4580-ba95-228cbcb60514,2025-04-04 05:37:56,inventories,1,0,0,
1298,17bd4b25-2305-4116-a7cc-899d2d21f56a,2025-04-04 05:37:44,inventories,1,0,0,
1297,6452073e-adf9-4ebc-a0d0-a195e0a9da0c,2025-04-04 05:37:36,inventories,1,0,0,
1296,08fbbfd5-eb86-49e0-b61f-bd0a91e86f15,2025-04-03 11:39:16,inventories,1,1,0,
1295,c6d6151a-2adc-45e1-92fc-28a2178a9705,2025-04-03 11:38:18,inventories,1,1,0,
1294,4d947452-f9af-4a43-af14-1cc3199c1c02,2025-04-03 11:38:30,inventories,1,1,0,
1293,0cd0cec2-653e-4be8-8940-ef902a9a0dcb,2025-04-03 11:37:29,inventories,1,1,0,
1291,77130fc8-f955-453b-ac3a-c88e33e3d0e4,2025-04-03 11:24:34,inventories,1,0,0,
1290,97582f25-516f-4937-9d08-1ffc40061e7f,2025-04-03 11:37:55,inventories,1,1,0,
1289,75b198f1-d7a9-4a2e-83d5-dc55b2ed9980,2025-04-03 14:10:40,inventories,1,1,0,
1288,3446751a-b317-41a5-ba7c-fc0e744598f3,2025-04-03 09:01:12,inventories,1,1,0,
1287,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-03 09:01:35,inventories,1,0,0,
1286,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-04-03 05:48:08,inventories,1,0,0,
1285,0138dadd-ecfe-4fa1-97a5-bb18f498c7d7,2025-04-03 05:48:18,inventories,1,0,0,
1283,4586b311-5efe-4c45-92cf-092b00d2d415,2025-04-03 05:47:56,inventories,1,0,0,
1282,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-04-02 04:59:31,inventories,1,0,0,
1281,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-04-01 09:26:45,inventories,1,0,0,
1276,6080ba5f-d474-44a6-80c1-353f62f364b9,2025-04-01 09:29:42,inventories,1,0,0,
1275,9f0e1619-06fd-4270-9ea0-ce50b4a02dc2,2025-04-01 09:30:20,inventories,1,0,0,
1274,a5064651-a5f3-429a-a741-594fcf58eff0,2025-04-01 09:30:42,inventories,1,0,0,
1273,779f9eb6-16c1-4381-ad11-4c0db7b35c09,2025-04-01 09:31:26,inventories,1,0,0,
1272,0890a38b-a2fc-4bb1-95a7-18fa0289aa76,2025-04-01 09:29:29,inventories,1,0,0,
1271,0192d001-ad4f-443a-8f24-405ae0098f22,2025-04-01 07:48:02,inventories,1,0,0,
1270,08fbbfd5-eb86-49e0-b61f-bd0a91e86f15,2025-04-01 09:33:25,inventories,1,0,0,
1269,3b58fe50-9e41-4f8b-9018-1fc0a719b6d9,2025-04-01 09:33:37,inventories,1,0,0,
1268,a244da48-872f-413a-8368-26a1806b8fdd,2025-03-28 13:43:56,inventories,1,1,1,
1267,fddca93c-493c-4995-a443-4b63fc27cfef,2025-03-28 13:43:17,inventories,1,1,1,
1266,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-03-28 13:43:40,inventories,1,1,0,
1265,51895fde-9495-445f-ad7d-f0695b45ff32,2025-03-28 09:30:36,inventories,1,1,0,
1264,32c0c605-2cdb-4da4-9617-989e9d2c99eb,2025-03-28 07:22:50,inventories,1,1,0,
1263,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-03-28 07:19:54,inventories,1,1,0,
1261,086ecaa9-04f6-412f-8fa6-77388c1091b9,2025-03-28 07:43:08,inventories,1,0,0,
1260,3b4e1f17-d65b-4334-833f-eb1b943606a4,2025-03-27 13:42:37,inventories,1,1,0,
1258,0138dadd-ecfe-4fa1-97a5-bb18f498c7d7,2025-03-27 13:32:56,inventories,1,0,0,
1257,279202dd-4ad9-4797-81a1-8df2e2fec0fb,2025-03-27 11:16:31,inventories,1,0,0,
1256,b00dfe0e-6a40-4197-bb20-a4d1e193fdc8,2025-03-27 06:19:11,inventories,1,1,0,
1255,4586b311-5efe-4c45-92cf-092b00d2d415,2025-03-27 06:19:47,inventories,1,1,0,
1254,075d06ef-8486-482e-8bcb-dfe451c9e7cc,2025-03-27 06:20:18,inventories,1,1,0,
1253,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-03-27 05:01:55,inventories,1,1,0,
1252,5142e0b8-45a8-4691-900b-ebd64468af25,2025-03-27 05:02:29,inventories,1,0,0,
1250,f56e567d-5a5e-4152-9fc8-2488cbba6893,2025-03-24 11:28:51,inventories,1,1,0,
1249,ed239404-5d24-48d7-acc4-169f6e049d4d,2025-03-24 07:36:39,inventories,1,1,0,
1248,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-03-24 07:36:32,inventories,1,1,0,
1247,ac56d182-bb67-4c83-9b44-683c1813f37e,2025-03-24 07:17:55,inventories,1,0,0,
1246,0cd0cec2-653e-4be8-8940-ef902a9a0dcb,2025-03-24 06:54:12,inventories,1,0,0,
1245,4586b311-5efe-4c45-92cf-092b00d2d415,2025-03-24 04:53:52,inventories,1,1,0,
1244,5397b0a9-a01d-4a4f-a9ed-771e84d43ec0,2025-03-21 06:34:10,inventories,1,0,0,
1243,35446524-b1d3-471c-8945-a2b020e212e7,2025-03-20 12:20:20,inventories,1,0,0,
1242,4586b311-5efe-4c45-92cf-092b00d2d415,2025-03-20 12:16:48,inventories,1,0,0,
1241,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-03-19 14:52:19,inventories,1,1,0,
1240,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-03-19 13:38:52,inventories,1,0,0,
1239,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-03-19 13:26:56,inventories,1,1,0,
1236,9ea1b85e-386c-4613-8e4a-ebb8a011bc11,2025-03-19 12:03:02,inventories,1,1,0,
1235,94e5346b-b0a9-414c-b59f-4ff8b4db6801,2025-03-19 11:39:00,inventories,1,1,0,
1234,9079e8d6-1f3f-4460-9ad0-8e0cd0c053eb,2025-03-19 09:15:34,inventories,1,0,0,
1232,4586b311-5efe-4c45-92cf-092b00d2d415,2025-03-19 09:07:09,inventories,1,1,0,
1230,f016765b-e708-43ea-ac89-be4066bf202d,2025-03-19 05:29:09,inventories,1,0,0,
1229,f016765b-e708-43ea-ac89-be4066bf202d,2025-03-19 05:29:23,inventories,1,0,0,
1228,daeea538-3f21-45c9-8b48-f729d3d666bd,2025-03-19 05:29:35,inventories,1,0,0,
1227,a4b47613-82ea-4cab-bd9d-e2ac669c1a65,2025-03-19 05:29:52,inventories,1,0,0,
1226,97b5d9c3-4ae2-4638-8521-07057285af2d,2025-03-19 05:30:06,inventories,1,0,0,
1225,7410db84-d7d4-4f57-8c8b-953864f31d08,2025-03-19 05:30:28,inventories,1,0,0,
1224,6cf47074-1b01-48b4-846c-c4c763dc501f,2025-03-19 05:31:15,inventories,1,0,0,
1223,5d5a4344-dcc4-4cf2-95d9-bdffcc74ab9b,2025-03-19 05:31:30,inventories,1,0,0,
1222,3abef36d-8d32-4a5c-84e8-14a9cd0f9070,2025-03-19 05:31:47,inventories,1,0,0,
1221,34124bff-5181-4651-83f5-cc47394a646e,2025-03-19 05:32:03,inventories,1,0,0,
1219,5397b0a9-a01d-4a4f-a9ed-771e84d43ec0,2025-03-19 05:35:55,inventories,1,0,0,
1217,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-03-19 05:47:06,inventories,1,0,0,
1216,35446524-b1d3-471c-8945-a2b020e212e7,2025-03-19 05:58:29,inventories,1,1,0,
1215,1ebcc433-5bfd-4370-b909-dae05bdbdb10,2025-03-18 09:03:46,inventories,1,1,0,
1214,701d68ba-aa68-4cfb-9a4d-28c26c7e772e,2025-03-18 12:53:24,inventories,1,0,0,
1213,b957bce7-2f6c-4aca-b407-e72640d9b00c,2025-03-17 12:38:22,inventories,1,0,0,
1211,2df944d8-ea87-4143-a2bd-8781e3abf3b9,2025-03-17 04:25:24,inventories,1,0,0,
1210,35446524-b1d3-471c-8945-a2b020e212e7,2025-03-18 12:53:37,inventories,1,1,0,
1209,f5147855-6bc9-4872-91eb-78f523f890b2,2025-03-18 12:53:48,inventories,1,1,0,
1208,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-03-18 12:53:57,inventories,1,1,0,
1207,fb2b88cc-07d2-4c7a-a5fb-b6b3d3a13e16,2025-03-14 08:37:48,inventories,1,0,0,
1205,4d4f183a-3bdd-41ea-9f10-7947128a750b,2025-03-18 12:54:07,inventories,1,1,0,
1203,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-03-18 12:54:51,inventories,1,0,0,
