item_id,project_id,time_period_start,requested_qty,received_qty,returned_qty,consumed_qty,end_available_amount,end_total_quantity,overdue_returns_count,avg_days_to_return
4fada355-cf98-422b-bbbf-0526537a1ae3,6e9a0257-963f-4255-89d1-4136da81e028,2025-07-28,7.0,0.0,0.0,0.0,90,0,0,
5013397d-735a-441c-93ae-d4e1bc6e0081,6e9a0257-963f-4255-89d1-4136da81e028,2025-07-28,1.0,0.0,0.0,0.0,4,0,0,
5022d586-62b8-4dab-aad0-f50516ab81f5,unknown,2025-02-03,4.0,0.0,0.0,0.0,4,4,0,
506918c5-bb43-4e49-9133-f144c6a890be,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-18,0.0,1.0,0.0,0.0,4,0,0,
506918c5-bb43-4e49-9133-f144c6a890be,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-24,1.0,0.0,0.0,0.0,4,0,0,
506918c5-bb43-4e49-9133-f144c6a890be,6e9a0257-963f-4255-89d1-4136da81e028,2025-03-31,0.0,1.0,0.0,0.0,3,0,0,
508cced1-1f1d-4e4f-81de-c9b1a48b5870,6e9a0257-963f-4255-89d1-4136da81e028,2024-08-12,0.0,1.0,0.0,0.0,0,0,0,
509f22d5-3a4b-4946-9e1b-a21a2312eb73,6e9a0257-963f-4255-89d1-4136da81e028,2025-07-14,2.0,0.0,0.0,0.0,2,0,0,
50b7b343-57af-409b-a08e-87f1ad24d564,6e9a0257-963f-4255-89d1-4136da81e028,2024-05-27,0.0,0.0,0.0,0.0,0,0,0,
50b7b343-57af-409b-a08e-87f1ad24d564,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-04,0.0,0.0,0.0,0.0,0,0,0,
50b7b343-57af-409b-a08e-87f1ad24d564,6e9a0257-963f-4255-89d1-4136da81e028,2024-11-11,0.0,0.0,0.0,0.0,0,0,0,
50b7b343-57af-409b-a08e-87f1ad24d564,6e9a0257-963f-4255-89d1-4136da81e028,2024-12-09,0.0,1.0,0.0,0.0,0,0,1,278.0
5142e0b8-45a8-4691-900b-ebd64468af25,unknown,2025-03-24,0.0,0.0,0.0,0.0,2,2,0,
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-05-20,0.0,2.0,0.0,0.0,0,0,1,425.0
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-06-24,0.0,0.0,0.0,0.0,0,0,0,
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-01,0.0,2.0,0.0,0.0,0,0,2,423.5
51895fde-9495-445f-ad7d-f0695b45ff32,6e9a0257-963f-4255-89d1-4136da81e028,2024-07-08,0.0,1.0,0.0,0.0,0,0,1,426.0
