id,department_id,source,total_quantity,current_stock
06c692ce-4f69-4b96-b842-eceeaba7c71d,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
06cd73d7-990d-41a6-9bbe-c2038b91fbd2,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
06d4a506-c465-46e5-a82e-966bc8635717,ICT Park TTA,asset,70.0,70.0
06d5bd9a-1c9c-4f5f-95cc-f0f06d17f6ff,HQ Office Facility,inventory,60.0,60.0
06f5ab08-8533-4b17-8ec8-48108251d552,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
06f738ba-1e51-4853-a945-a06d18cc4e16,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
06f7f21e-1d53-4b80-ab6b-ad1d3f670401,MINT Commissioning of Smart Communication Rooms at,inventory,48.0,48.0
0710b05b-f857-4cdf-a059-01d639c88d8a,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
07195218-58e8-490f-86c1-e09a320fac59,Dashen Bank DHCI,inventory,108.0,108.0
0719a0d3-1564-4861-8988-f60f5d0ba759,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
072866b3-f2e1-48b2-8183-da194498ab4b,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
0730db84-d8cf-4b60-a4e5-42b192b8d7a5,ICT Park TTA,asset,45.0,45.0
07346855-aba6-44d5-a64c-80ec3aafda18,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
073a20a3-9993-46fb-9182-f67b4af8c416,MINT Commissioning of Smart Communication Rooms at,inventory,48.0,48.0
0741c8ae-675c-4c08-89e0-8c611b2e021b,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
074dee06-e1e5-4540-aa15-0b7d6f7ec770,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0757ed9c-a3d6-486c-a4bd-3e2388d1d812,ICT Park TTA,inventory,200.0,200.0
075a68bf-464d-4e69-a8a5-c1e7d186643a,Dashen Bank DHCI,inventory,108.0,108.0
076fd626-ed8e-44b2-8208-e5024bf96655,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
07778a47-fb22-4c3f-912f-06095048f133,ICT Park TTA,asset,7.0,7.0
077fc2f3-46ba-41cf-94e1-d68ef851a985,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
